"","RT","MZ","HM406CO","HM406TI"
"407",7275.05691751624,572.823785706633,NA,NA
"408",9849.70153864468,601.30353098077,NA,NA
"409",3911.38740039562,536.293409358403,NA,NA
"410",3679.46986643676,456.219074979566,NA,NA
"411",2182.99697035447,569.286421506044,129619600,286457300
"412",6222.82655820757,514.803692578895,2459208000,3416914000
"413",6723.0345116145,744.839809839351,4807896000,4207319000
"414",7016.14362308181,500.805498584791,69841440,1699381000
"415",6190.26268388159,560.803676529747,426118200,3251939000
"416",5736.18512328,411.711772745848,2165949000,27836060000
"417",3149.06908770893,559.258331083037,NA,737270800
"418",3479.72253707035,532.778551881298,NA,110490800
"419",10992.3870133271,758.718297322826,NA,2054357000
"420",4165.62002642669,720.392124868392,NA,1377664000
"421",3805.45288434224,655.311943650699,NA,1601017000
"422",5988.09597778972,471.772016773222,NA,133408200
"423",3037.73925652879,579.781088586934,NA,NA
"424",9390.55508955809,604.339241511755,NA,NA
"425",3409.83092463994,676.304998138292,NA,NA
"426",3606.68392785373,635.85271326483,NA,NA
"427",5143.13965760199,525.795686295515,NA,NA
"428",9812.79173537642,701.855143022357,NA,NA
"429",7529.7109790956,813.932698386773,NA,NA
"430",4571.33060513564,546.783368518681,NA,NA
"431",2461.81402568738,451.254448543156,NA,NA
"432",3972.40272792078,607.314762938866,16763200,625671500
"433",5007.25719649499,408.721679349032,3016867000,1059347000
"434",10381.2209790525,735.032413358889,2454352000,NA
"435",3389.72517034706,582.285140762653,728407000,4214512000
"436",3962.05479864379,620.805929082084,454062900,515717700
"437",2423.65231908797,558.795061883515,300707000,36024200
"438",3476.58435036562,618.31733779563,108454200,NA
"439",2850.11044832525,482.73759522982,647094200,3184765000
"440",4443.39923534933,577.657131094449,41818830,37962820
"441",5153.42200941495,564.789643814644,14649770,512311100
"442",6948.4620203315,523.796517982345,1067519000,NA
"443",3312.42329093524,473.266711977943,NA,11214570
"444",3482.90309943424,515.280687763835,NA,146439400
"445",6865.01605565633,845.391391808268,NA,1055040000
"446",4128.24612138165,526.274459665862,NA,453405000
"447",3898.70200633304,428.273088137151,NA,1752019000
"448",7512.63396780435,764.855072257846,NA,190393000
"449",3386.10255464284,575.611236665166,NA,6029445000
"450",4704.24958247216,896.462049470694,NA,3530457000
"451",4901.39218760545,577.289343226527,NA,206862400
"452",2178.29322859564,517.764083839557,NA,NA
"453",3160.20370441173,636.29951236237,NA,NA
"454",3175.97186048966,595.306444000449,NA,NA
"455",4002.78503620125,525.289556229306,NA,NA
"456",5603.73737241691,627.810459324674,NA,NA
"457",4363.05049890865,453.2599120268,NA,NA
"458",11623.3706073491,1126.00915235321,502461000,NA
"459",1801.04137423375,488.727919298089,67713340,174168800
"460",4478.53560440325,657.838472731886,8524527,NA
"461",7243.21305414602,575.289809498742,1295147000,13503820000
"462",2115.6050211955,722.324411714399,56654310000,8051805000
"463",10500.1597760296,895.949747526441,6366797000,8166034000
"464",5244.11844383793,588.306957717604,16501920,8641593000
"465",3057.44471384828,504.776524418929,110208400,NA
"466",2737.77284154581,595.295711207876,373451700,781897400
"467",5237.02147755836,887.931456658392,66807120,2163486000
"468",1920.81018734671,466.740092086602,NA,15352650000
"469",4130.16193939191,479.272030824313,NA,4643899000
"470",7531.13229629675,482.297514279509,NA,167637100
"471",5100.5709423138,730.37932023485,NA,4494667
"472",4153.69060552806,666.797384958929,NA,61024260
"473",2349.36598505327,522.290493440052,NA,145476900
"474",6048.70310142247,806.434208033239,NA,361896200
"475",10263.635143573,1015.96176262698,NA,NA
"476",5235.90913625678,653.353749995154,NA,NA
"477",7806.51227814347,618.326633995754,NA,NA
"478",6091.81207639153,645.858218174047,NA,NA
"479",3399.14915285079,530.798331698766,NA,NA
"480",6208.33914029995,611.826302110738,NA,NA
"481",3580.18942485052,608.320542619277,NA,NA
"482",2543.50690881951,608.336785714585,NA,NA
"483",2109.99959513785,747.799602016824,275278800,242607100
"484",2041.71646047206,559.267541726035,42537470,478792200
"485",3939.5432553268,735.887803880797,44688840,1095601000
"486",3114.12764707653,652.782710148852,1296795000,256977200
"487",2987.65490167155,567.285056814789,90877830,4674398
"488",4261.77100496809,647.308389147292,451276300,1.44523e+11
"489",4526.65495195628,508.274894463919,465967400,NA
"490",3022.57246954272,543.783082011182,114951000,93646160
"491",7148.02539857023,595.826198519405,232764700,469178100
"492",5183.80428283812,484.747109178344,191938000,507071000
"493",5788.25666762219,615.836831620508,916054100,NA
"494",4107.33992590929,589.310508900984,12318610,NA
"495",5195.64894374995,527.254779363696,228650700,133438900
"496",3846.72179105548,692.38308399855,608708400,NA
"497",3244.16571217073,480.758825001958,423425900,NA
"498",6297.03974143281,561.793379795183,940704500,NA
"499",2826.18896401107,597.784351237667,NA,33843770
"500",5776.59115269014,625.829228999492,NA,418870200
"501",2009.32332443038,509.270504325012,NA,8709649
"502",1963.48343735564,409.706957740328,NA,48772710
"503",4260.05191836107,725.371486309115,NA,1933846000
"504",7595.9495656897,404.564223638587,NA,1564662000
"505",4811.02350958811,554.792844895368,NA,NA
"506",7426.30827359508,1070.50948505558,NA,NA
"507",5532.7920818811,497.270733040292,NA,NA
"508",2446.91443573244,548.260375251909,NA,NA
"509",6943.15658920773,615.828499716487,NA,NA
"510",5877.66662205293,488.777159276397,NA,NA
"511",6410.76187051214,568.308622309664,NA,NA
"512",5911.5936495842,636.807093374364,455352400,457009100
"513",2653.76857990506,546.283549070595,32368740,NA
"514",5023.85860806772,479.259605683738,241515000,915404700
"515",4371.90613047085,503.289674709506,2716490000,340140900
"516",3543.04598926167,487.591099678186,143750100,2298876000
"517",8717.20716894331,628.004556956284,1830329000,NA
"518",4038.44361563551,677.86967119491,194411600,1618419000
"519",3854.06619634605,549.78269265807,95940490,NA
"520",8238.41192168916,791.841996541563,422302700,8585297
"521",2639.01803158424,541.267273069362,54393960,NA
"522",3301.46813114519,615.794623897117,9062660,93129440
"523",10938.6110491083,918.47849434427,1518117000,NA
"524",2468.53698771359,559.758809181224,NA,7099798
"525",2817.48035542516,526.252421293497,NA,48592900
"526",3065.47081853843,646.305262564473,NA,764952900
"527",4186.74459287385,460.744611216676,NA,358296800
"528",2865.23199314579,512.599611218823,NA,NA
"529",1898.24924809927,665.788216338648,NA,NA
"530",4206.18166951164,738.893822295341,NA,NA
"531",6714.49402953295,454.757330228893,NA,NA
"532",4320.48204593164,451.2544154856,NA,NA
"533",5496.09266783238,513.263117695787,NA,NA
"534",6068.60186545576,685.34136098105,NA,NA
"535",6652.72756454652,537.7996215291,NA,NA
"536",6784.59853570315,691.341286133676,NA,NA
"537",7996.89512871597,951.483405022876,5374414000,666436000
"538",2580.0669021498,556.272384378582,132010800,10956120
"539",1951.85869684954,613.762585537214,61192540,473350500
"540",9612.56634974431,849.882809441923,653265300,NA
"541",3804.83084593727,704.359259719224,138703900,168206100
"542",8425.76882804939,615.634711395455,208409900,155869700
